movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
Pushpa 2 - The Rule,2024,6.5,Age rating not found,"bookmyshow, amazonprimevideo",3h 18min,"Mystery & Thriller, Crime, Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
Lucky Baskhar,2024,8.1,UA,"netflix, bookmyshow, amazonprimevideo",2h 50min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/lucky-baskhar
Bhool Bhulaiyaa 3,2024,5.1,UA,"bookmyshow, amazonprimevideo",2h 38min,"Comedy, Horror",India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
Pushpa: The Rise,2021,7.6,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo, bookmyshow",2h 59min,"Action & Adventure, Drama, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/movie/pushpa
Venom: The Last Dance,2024,6.0,Age rating not found,"itunes, zee5, amazon, amazonprimevideo, itunes, itunes",1h 49min,"Science-Fiction, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/venom-3-2024
Amaran,2024,8.3,Age rating not found,"netflix, bookmyshow, amazonprimevideo",2h 47min,"Action & Adventure, Drama, War & Military",India,https://www.justwatch.com/in/movie/amaran-2024
Red One,2024,6.4,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo",2h 4min,"Action & Adventure, Fantasy, Comedy",United States,https://www.justwatch.com/in/movie/red-one
Solo Leveling -ReAwakening-,2024,8.1,Age rating not found,"bookmyshow, amazonprimevideo",1h 56min,"Action & Adventure, Fantasy, Animation",Japan,https://www.justwatch.com/in/movie/ore-dake-level-up-na-ken-reawakening
All We Imagine as Light,2024,7.4,A,"bookmyshow, amazonprimevideo",1h 58min,"Drama, Romance","France, India, Italy, Luxembourg, Netherlands",https://www.justwatch.com/in/movie/all-we-imagine-as-light
Singham Again,2024,5.4,UA,"bookmyshow, amazonprimevideo, amazonprimevideo",2h 24min,"Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/singham-again-2024-0
Kanguva,2024,4.7,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 34min,"Action & Adventure, Mystery & Thriller, Fantasy, Drama",India,https://www.justwatch.com/in/movie/kanguva
Stree 2: Sarkate Ka Aatank,2024,7.0,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 27min,"Comedy, Horror",India,https://www.justwatch.com/in/movie/stree-2
