tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
Chernobyl,2019,9.3,Age rating not found,"jiocinema, amazonprimevideo",1h 5min,"Drama, History, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/chernobyl
High Potential,2024,7.7,Age rating not found,,43min,"Drama, Crime",United States,https://www.justwatch.com/in/tv-show/high-potential
Gotham,2014,7.8,U,amazonprimevideo,43min,"Crime, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/gotham
The Dragon Prince,2018,8.3,Age rating not found,"netflix, amazonprimevideo",28min,"Action & Adventure, Science-Fiction, Animation, Drama, Kids & Family, Fantasy, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/the-dragon-prince
Gullak,2019,9.1,Age rating not found,"vimoviesandtv, sonyliv, amazonprimevideo",30min,"Comedy, Drama, Kids & Family",India,https://www.justwatch.com/in/tv-show/gullak
Peaky Blinders,2013,8.7,A,"netflix, amazonprimevideo",58min,"Drama, Crime",United Kingdom,https://www.justwatch.com/in/tv-show/peaky-blinders
Beast Games,2024,5.9,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",46min,Reality TV,United States,https://www.justwatch.com/in/tv-show/beast-games
Cobra Kai,2018,8.4,Age rating not found,"netflix, amazonprimevideo",35min,"Action & Adventure, Drama, Comedy, Sport",United States,https://www.justwatch.com/in/tv-show/cobra-kai
Bleach: Thousand-Year Blood War,2022,9.0,Age rating not found,"amazonprimevideo, hotstar, netflix, amazonprimevideo, amazonanimetimes, jiocinema, amazonprimevideo",24min,"Fantasy, Animation, Action & Adventure",Japan,https://www.justwatch.com/in/tv-show/bleach-thousand-year-blood-war
Lost,2004,8.3,U,amazonprimevideo,43min,"Mystery & Thriller, Action & Adventure, Drama, Fantasy, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/lost
Naruto,2002,8.4,Age rating not found,"amazonprimevideo, netflix, amazonanimetimes, amazonprimevideo, amazonprimevideo",23min,"Action & Adventure, Science-Fiction, Animation, Comedy, Fantasy",Japan,https://www.justwatch.com/in/tv-show/naruto
The Sex Lives of College Girls,2021,7.8,A,"jiocinema, amazonprimevideo",29min,"Comedy, Drama",United States,https://www.justwatch.com/in/tv-show/the-sex-lives-of-college-girls
Outlander,2014,8.3,A,"netflix, amazonprimevideo",1h 0min,"Drama, Fantasy, Romance, Science-Fiction",United States,https://www.justwatch.com/in/tv-show/outlander
The Family Man,2019,8.7,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",45min,"Action & Adventure, Comedy, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/the-family-man
Lucifer,2016,8.0,U,"netflix, amazonprimevideo",47min,"Science-Fiction, Crime, Drama, Fantasy",United States,https://www.justwatch.com/in/tv-show/lucifer
Stranger Things,2016,8.7,Age rating not found,"netflix, amazonprimevideo",1h 1min,"Science-Fiction, Mystery & Thriller, Action & Adventure, Drama, Fantasy, Horror",United States,https://www.justwatch.com/in/tv-show/stranger-things
Inspector Rishi,2024,7.2,A,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",45min,"Drama, Horror, Action & Adventure, Mystery & Thriller",India,https://www.justwatch.com/in/tv-show/inspector-rishi
Bandish Bandits,2020,8.6,Age rating not found,"amazonprimevideo, amazonprimevideo, amazonprimevideo, amazonprimevideo",46min,"Drama, Music & Musical, Romance",India,https://www.justwatch.com/in/tv-show/bandish-bandits
Mr. Plankton,2024,8.1,Age rating not found,"netflix, amazonprimevideo",1h 2min,"Drama, Comedy, Romance",South Korea,https://www.justwatch.com/in/tv-show/mr-plankton
Raising Voices,2024,7.2,A,"netflix, amazonprimevideo",46min,Drama,Spain,https://www.justwatch.com/in/tv-show/raising-voices
