,movies_title,release_year,imdb_rating,age_rating,stream_provider,runtime,genre_list,movie_prod_country,movie_url
0,Pushpa 2 - The Rule,2024,6.5,NA,"bookmyshow, amazonprimevideo",3h 18min,"Mystery & Thriller, Crime, Action & Adventure, Drama",India,https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
1,Lucky Baskhar,2024,8.1,UA,"netflix, bookmyshow, amazonprimevideo",2h 50min,"Crime, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/lucky-baskhar
2,Bhool Bhulaiyaa 3,2024,5.1,UA,"bookmyshow, amazonprimevideo",2h 38min,"Comedy, Horror",India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
3,Pushpa: The Rise,2021,7.6,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo, bookmyshow",2h 59min,"Action & Adventure, Drama, Mystery & Thriller, Crime",India,https://www.justwatch.com/in/movie/pushpa
4,Venom: The Last Dance,2024,6.0,NA,"itunes, zee5, amazon, amazonprimevideo, itunes, itunes",1h 49min,"Science-Fiction, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/movie/venom-3-2024
5,Amaran,2024,8.3,NA,"netflix, bookmyshow, amazonprimevideo",2h 47min,"Action & Adventure, Drama, War & Military",India,https://www.justwatch.com/in/movie/amaran-2024
6,Red One,2024,6.4,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",2h 4min,"Action & Adventure, Fantasy, Comedy",United States,https://www.justwatch.com/in/movie/red-one
7,Solo Leveling -ReAwakening-,2024,8.1,NA,"bookmyshow, amazonprimevideo",1h 56min,"Action & Adventure, Fantasy, Animation",Japan,https://www.justwatch.com/in/movie/ore-dake-level-up-na-ken-reawakening
8,All We Imagine as Light,2024,7.4,A,"bookmyshow, amazonprimevideo",1h 58min,"Drama, Romance","France, India, Italy, Luxembourg, Netherlands",https://www.justwatch.com/in/movie/all-we-imagine-as-light
9,Singham Again,2024,5.4,UA,"bookmyshow, amazonprimevideo, amazonprimevideo",2h 24min,"Drama, Action & Adventure",India,https://www.justwatch.com/in/movie/singham-again-2024-0
10,Kanguva,2024,4.7,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 34min,"Action & Adventure, Mystery & Thriller, Fantasy, Drama",India,https://www.justwatch.com/in/movie/kanguva
11,Stree 2: Sarkate Ka Aatank,2024,7.0,UA,"amazonprimevideo, amazonprimevideo, amazon, amazonprimevideo",2h 27min,"Comedy, Horror",India,https://www.justwatch.com/in/movie/stree-2
12,The Substance,2024,7.4,NA,"mubi, amazonmubi, amazonprimevideo, amazon",2h 21min,"Science-Fiction, Drama, Horror","United Kingdom, France",https://www.justwatch.com/in/movie/the-substance
13,The Wild Robot,2024,8.2,NA,"itunes, zee5, amazon, amazonprimevideo, itunes, itunes, bookmyshow",1h 42min,"Animation, Science-Fiction, Action & Adventure, Kids & Family","Japan, United States",https://www.justwatch.com/in/movie/the-wild-robot
14,Kishkindha Kaandam,2024,8.1,UA,"hotstar, amazonprimevideo",2h 13min,"Mystery & Thriller, Drama",India,https://www.justwatch.com/in/movie/kishkkindha-kandam
15,Bagheera,2024,6.8,UA,"netflix, amazonprimevideo",2h 38min,Action & Adventure,India,https://www.justwatch.com/in/movie/bagheera-2024
16,Devara Part 1,2024,6.0,UA,"netflix, bookmyshow, amazonprimevideo",2h 56min,"Action & Adventure, Drama, Mystery & Thriller",India,https://www.justwatch.com/in/movie/ntr-30
17,Sookshma Darshini,2024,8.1,NA,"bookmyshow, amazonprimevideo",2h 22min,Mystery & Thriller,India,https://www.justwatch.com/in/movie/sookshma-darshini
18,Carry-On,2024,6.5,NA,"netflix, amazonprimevideo",1h 59min,"Mystery & Thriller, Action & Adventure, Crime, Drama",United States,https://www.justwatch.com/in/movie/carry-on-2024
19,Vicky Vidya Ka Woh Wala Video,2024,5.2,UA,"netflix, bookmyshow, amazonprimevideo",2h 32min,Comedy,India,https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video
