,tv_title,release_year,Imdb_rating,age_rating,stream_provider,runtime,genre_list,tv_prod_country,tv_show_url
72,Apharan,2018,8.2,NA,"altbalaji, amazonprimevideo",24min,"Crime, Mystery & Thriller, Drama",India,https://www.justwatch.com/in/tv-show/apharan
73,The Rana Daggubati Show,2024,7.2,NA,"amazonprimevideo, amazonprimevideo, amazonprimevideo",36min,Reality TV,India,https://www.justwatch.com/in/tv-show/the-rana-daggubati-show
74,Euphoria,2019,8.3,A,"jiocinema, amazonprimevideo",58min,Drama,United States,https://www.justwatch.com/in/tv-show/euphoria
75,True Detective,2014,8.9,U,"jiocinema, amazonprimevideo",1h 1min,"Drama, Mystery & Thriller, Crime",United States,https://www.justwatch.com/in/tv-show/true-detective
76,Jujutsu Kaisen,2020,8.5,NA,"amazonprimevideo, netflix, amazonanimetimes, amazonprimevideo, amazoncrunchyroll, amazonprimevideo",24min,"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction","United States, Japan",https://www.justwatch.com/in/tv-show/jujutsu-kaisen
77,Adam's Sweet Agony,2024,NA,NA,"amazonprimevideo, amazonanimetimes, amazonprimevideo, amazonprimevideo",3min,Animation,Japan,https://www.justwatch.com/in/tv-show/adams-sweet-agony
78,Shōgun,2024,8.6,NA,"hotstar, amazonprimevideo",59min,"Drama, War & Military, History",United States,https://www.justwatch.com/in/tv-show/shogun-2024
79,Person of Interest,2011,8.5,U,amazonprimevideo,44min,"Drama, Action & Adventure, Crime, Science-Fiction, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/person-of-interest
80,Chernobyl,2019,9.3,NA,"jiocinema, amazonprimevideo",1h 5min,"Drama, History, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/chernobyl
81,High Potential,2024,7.7,NA,,43min,"Drama, Crime",United States,https://www.justwatch.com/in/tv-show/high-potential
82,Gotham,2014,7.8,U,amazonprimevideo,43min,"Crime, Science-Fiction, Drama, Action & Adventure, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/gotham
83,The Dragon Prince,2018,8.3,NA,"netflix, amazonprimevideo",28min,"Action & Adventure, Science-Fiction, Animation, Drama, Kids & Family, Fantasy, Mystery & Thriller",United States,https://www.justwatch.com/in/tv-show/the-dragon-prince
84,Gullak,2019,9.1,NA,"vimoviesandtv, sonyliv, amazonprimevideo",30min,"Comedy, Drama, Kids & Family",India,https://www.justwatch.com/in/tv-show/gullak
